"Question","Notes","Link to process or procedure","Link to Policy"
"ID.AM-01.01: There is a documented process or procedure in place to support, ""Inventories of hardware managed by the organization are maintained.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.AM-02.01: There is a documented process or procedure in place to support, ""Inventories of software, services, and systems managed by the organization are maintained.""","","",""
"ID.AM-03: Representations of the organization's authorized network communication and internal and external network data flows are maintained. A necessary (but not sufficient) requirement to choose Tier 2 is a *a diagram or flowchart illustrating how communication and data is designed to travel throughout internal systems your unit manages, and externally to systems managed by third parties.*","","",""
"ID.AM-08.01: There is a documented process or procedure in place to support, ""Systems, hardware, software, services, and data are managed throughout their life cycles.""","","",""
"ID.RA-01.01: There is a documented process or procedure in place to support, ""Vulnerabilities in assets are identified, validated, and recorded.""","","",""
"ID.RA-02.01: There is a documented process or procedure in place to support, ""Cyber threat intelligence is received from information sharing forums and sources.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-03.01: There is a documented process or procedure in place to support, ""Internal and external threats to the organization are identified and recorded.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-04.01: There is a documented process or procedure in place to support, ""Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-05.01: There is a documented process or procedure in place to support, ""Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-06.01: There is a documented process or procedure in place to support, ""Risk responses are chosen, prioritized, planned, tracked, and communicated.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-07.01: There is a documented process or procedure in place to support, ""Changes and exceptions are managed, assessed for risk impact, recorded, and tracked.""","","",""
"ID.RA-08.01: There is a documented process or procedure in place to support, ""Processes for receiving, analyzing, and responding to vulnerability disclosures are established.""","","",""
"ID.RA-10.01: There is a documented process or procedure in place to support, ""Critical suppliers are assessed prior to acquisition.""","","",""
"ID.IM-01.01: There is a documented process or procedure in place to support, ""Improvements are identified from evaluations.""","","",""
"ID.IM-02.01: There is a documented process or procedure in place to support, ""Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties.""","","",""
"ID.IM-03.01: There is a documented process or procedure in place to support, ""Improvements are identified from execution of operational processes, procedures, and activities.""","","",""
"ID.IM-04.01: There is a documented process or procedure in place to support, ""Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved.""","","",""
"PR.AA-01.01: There is a documented process or procedure in place to support, ""Identities and credentials for authorized users, services, and hardware are managed by the organization.""","","",""
"PR.AA-02.01: There is a documented process or procedure in place to support, ""Identities are proofed and bound to credentials based on the context of interactions.""","","",""
"PR.AA-03.01: There is a documented process or procedure in place to support, ""Users, services, and hardware are authenticated.""","","",""
"PR.AA-04.01: There is a documented process or procedure in place to support, ""Identity assertions are protected, conveyed, and verified.""","","",""
"PR.AA-05.01: There is a documented process or procedure in place to support, ""Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties."" In the absence of a University policy, does your unit have procedures to meet this control","","",""
"PR.AA-06.01: There is a documented process or procedure in place to support, ""Physical access to assets is managed, monitored, and enforced commensurate with risk.""","","",""
"PR.AT-01.01: There is a documented process or procedure in place to support, ""Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"PR.AT-02.01: There is a documented process or procedure in place to support, ""Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"PR.DS-01.01: There is a documented process or procedure in place to support, ""The confidentiality, integrity, and availability of data-at-rest are protected.""","","",""
"PR.DS-02.01: There is a documented process or procedure in place to support, ""The confidentiality, integrity, and availability of data-in-transit are protected.""","","",""
"PR.DS-10.01: There is a documented process or procedure in place to support, ""The confidentiality, integrity, and availability of data-in-use are protected.""","","",""
"PR.DS-11.01: There is a documented process or procedure in place to support, ""Backups of data are created, protected, maintained, and tested.""","","",""
"PR.PS-01.01: There is a documented process or procedure in place to support, ""Configuration management practices are established and applied.""","","",""
"PR.PS-02.01: There is a documented process or procedure in place to support, ""Software is maintained, replaced, and removed commensurate with risk.""","","",""
"PR.PS-03.01: There is a documented process or procedure in place to support, ""Hardware is maintained, replaced, and removed commensurate with risk.""","","",""
"PR.PS-04.01: There is a documented process or procedure in place to support, ""Log records are generated and made available for continuous monitoring.""","","",""
"PR.PS-05.01: There is a documented process or procedure in place to support, ""Installation and execution of unauthorized software are prevented.""","","",""
"PR.PS-06.01: There is a documented process or procedure in place to support, ""Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle.""","","",""
"PR.IR-01.01: There is a documented process or procedure in place to support, ""Networks and environments are protected from unauthorized logical access and usage.""","","",""
"PR.IR-02.01: There is a documented process or procedure in place to support, ""The organization's technology assets are protected from environmental threats.""","","",""
"PR.IR-03.01: There is a documented process or procedure in place to support, ""Mechanisms are implemented to achieve resilience requirements in normal and adverse situations.""","","",""
"PR.IR-04.01: There is a documented process or procedure in place to support, ""Adequate resource capacity to ensure availability is maintained.""","","",""
"DE.CM-01.01: There is a documented process or procedure in place to support, ""Networks and network services are monitored to find potentially adverse events.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"DE.CM-02.01: There is a documented process or procedure in place to support, ""The physical environment is monitored to find potentially adverse events.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"DE.CM-03.01: There is a documented process or procedure in place to support, ""Personnel activity and technology usage are monitored to find potentially adverse events.""","","",""
"DE.CM-06.01: There is a documented process or procedure in place to support, ""External service provider activities and services are monitored to find potentially adverse events.""","","",""
"DE.CM-09.01: There is a documented process or procedure in place to support, ""Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events.""","","",""
"DE.AE-02.01: There is a documented process or procedure in place to support, ""Potentially adverse events are analyzed to better understand associated activities.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"DE.AE-03.01: There is a documented process or procedure in place to support, ""Information is correlated from multiple sources.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"DE.AE-04.01: There is a documented process or procedure in place to support, ""The estimated impact and scope of adverse events are understood.""","","",""
"DE.AE-06.01: There is a documented process or procedure in place to support, ""Information on adverse events is provided to authorized staff and tools.""","","",""
"DE.AE-07.01: There is a documented process or procedure in place to support, ""Cyber threat intelligence and other contextual information are integrated into the analysis.""","","",""
"DE.AE-08.01: There is a documented process or procedure in place to support, ""Incidents are declared when adverse events meet the defined incident criteria.""","","",""
"RS.MA-01.01: There is a documented process or procedure in place to support,, ""The incident response plan is executed in coordination with relevant third parties once an incident is declared.""","","",""
"RS.MA-02.01: There is a documented process or procedure in place to support, ""Incident reports are triaged and validated.""","","",""
"RS.MA-03.01: There is a documented process or procedure in place to support, ""Incidents are categorized and prioritized.","","",""
"RS.MA-04.01: There is a documented process or procedure in place to support, ""Incidents are escalated or elevated as needed.""","","",""
"RS.MA-05.01: There is a documented process or procedure in place to support, ""The criteria for initiating incident recovery are applied.""","","",""
"RS.AN-03.01: There is a documented process or procedure in place to support, ""Analysis is performed to establish what has taken place during an incident and the root cause of the incident.","","",""
"RS.AN-06.01: There is a documented process or procedure in place to support, ""Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved.""","","",""
"RS.AN-07.01: There is a documented process or procedure in place to support, ""Incident data and metadata are collected, and their integrity and provenance are preserved.","","",""
"RS.AN-08.01: There is a documented process or procedure in place to support, ""An incident's magnitude is estimated and validated.""","","",""
"RS.CO-02.01: There is a documented process or procedure in place to support, ""Internal and external stakeholders are notified of incidents.""","","",""
"RS.CO-03.01: There is a documented process or procedure in place to support, ""Information is shared with designated internal and external stakeholders.","","",""
"RS.MI-01.01: There is a documented process or procedure in place to support, ""Incidents are contained.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"RS.MI-02.01: There is a documented process or procedure in place to support, ""Incidents are eradicated.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"RC.RP-01.01: There is a documented process or procedure in place to support, ""The recovery portion of the incident response plan is executed once initiated from the incident response process.""","","",""
"RC.RP-02.01: There is a documented process or procedure in place to support, ""Recovery actions are selected, scoped, prioritized, and performed.""","","",""
"RC.RP-03.01: There is a documented process or procedure in place to support, ""The integrity of backups and other restoration assets is verified before using them for restoration.""","","",""
"RC.RP-04.01: There is a documented process or procedure in place to support, ""Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms.""","","",""
"RC.RP-05.01: There is a documented process or procedure in place to support, ""The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed.""","","",""
"RC.RP-06.01: There is a documented process or procedure in place to support, ""The end of incident recovery is declared based on criteria, and incident-related documentation is completed.""","","",""
"RC.CO-03.01: There is a documented process or procedure in place to support, ""Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders.","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"RC.CO-04.01: There is a documented process or procedure in place to support, ""Public updates on incident recovery are shared using approved methods and messaging.""","","",""
